cluster,num,lon,lat,pH,EC,GWC,per_clay,per_sand,per_silt,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Ti,Zn,per_som,PerN,PerC,CNRatio,Ele
8,3,-94.23453704,36.06642554,6.55,110.4,0.276177662,13.991,32.625,53.384,53.6,0.008,4.93,157,0.035,0.01,0.011,0.102,21.9,4.38,2.56,2.08,0.001,6.2,0.093,1.67,1.06,0.031,0.208,3.915,0.241285473,2.574023485,10.66795921,375.287
8,4,-94.23442199,36.06638669,6.35,116.3,0.29068441,14.27905,33.25,52.47095,54.3,0,4.75,174,0.029,0.009,0.007,0.103,19.9,5.45,5.6,2.2,0.002,6.4,0.082,2.44,1.22,0.026,0.253,4.7375,0.283710092,3.215147972,11.3325119,375.615
8,5,-94.23440345,36.06638313,6.78,202,0.278108446,11.542575,21.25,67.207425,40.5,0.01,4.21,206,0.015,0.028,0.009,0.121,23.6,5.66,6.69,3.12,0.001,9.4,0.156,0.946,0.899,0.029,0.27,2.98,0.209326208,2.339854002,11.17802715,375.57697
9,1,-94.23465193,36.06622432,5.86,114.9,0.267223728,9.690825,16.75,73.559175,47.8,0,4.65,180,0.006,0.02,0.015,0.16,29.5,5.62,11,1.91,0.001,12.3,0.077,0.816,1.16,0.035,0.242,3.5225,0.232512012,2.592505455,11.14998531,375.11
9,2,-94.23466705,36.06627058,5.8,111.5,0.172704406,13.476625,26.25,60.273375,42.5,0.004,4.85,152,0.01,0.014,0.009,0.173,24,4.1,5.26,2.47,0,7.65,0.111,1.32,1.02,0.032,0.324,3.3325,0.193103433,2.270145416,11.75611115,375.15
9,3,-94.23479456,36.06627799,5.74,88.9,0.216533192,11.172225,16.375,72.452775,48.5,0,4.56,170,0.006,0.025,0.014,0.178,31.1,4.79,5.77,3.2,0.001,11.6,0.126,0.771,0.913,0.032,0.239,3.4275,0.245661035,2.541091442,10.34389305,375.117
9,4,-94.23474355,36.06639002,6.19,141.2,0.200320615,14.36135,26,59.63865,38.9,0.007,4.83,159,0.006,0.053,0.009,0.09,27.6,4.95,9.84,2.98,0,9.74,0.067,0.778,1.93,0.031,0.199,3.8775,0.207042933,2.57538414,12.4388895,375.16904
9,5,-94.23462519,36.06639531,6.19,141,0.140836721,9.937725,25.375,64.687275,39.1,0,4.69,163,0.005,0.018,0.011,0.09,20.4,4.49,6.6,2.23,0,10.9,0.081,0.621,1.16,0.03,0.151,2.7575,0.181413502,2.06086874,11.3600626,375.188
10,1,-94.23411098,36.06645153,4.67,125.7,0.438666051,6.645725,14.75,78.604275,50.9,0.022,5.23,175,0.015,0.057,0.017,0.024,52,5.62,7.13,6.93,0,11.4,0.098,1.11,1.15,0.065,0.211,2.7075,0.241664022,2.407283545,9.96128273,375.054
10,2,-94.23420595,36.06642115,5.53,112.2,0.400086395,5.5141,15.5,78.9859,54,0.02,5.24,245,0.005,0.048,0.018,0.038,46.8,6.86,10.7,6.03,0.001,12.4,0.098,0.79,1.15,0.041,0.212,3.82,0.231777281,2.717629433,11.72517586,375.059
10,3,-94.23428928,36.06643351,5.53,101.1,0.410103387,5.164325,13.75,81.085675,55.2,0.016,5.09,274,0.007,0.051,0.016,0.036,46,7.68,13.6,6.77,0.002,14.3,0.096,0.88,1.1,0.039,0.184,2.575,0.246607825,2.500454426,10.13939571,375.04004
10,4,-94.23412707,36.06649852,5.02,60.2,0.369105646,4.464775,14.5,81.035225,59.6,0.015,5.19,145,0.004,0.073,0.021,0.022,50.8,4.45,7.58,4.83,0,12.1,0.091,0.563,1.03,0.053,0.143,2.2725,0.155273065,1.729870319,11.14082718,375.04
10,5,-94.23410024,36.06656346,4.9,59.5,0.38645299,4.73225,14.25,81.01775,60.1,0.018,5.15,131,0.004,0.052,0.022,0.027,53.9,4.51,8.49,4.34,0.002,12.2,0.091,0.606,0.993,0.059,0.171,2.315,0.168873087,1.867172241,11.0566597,375.034
11,1,-94.23460066,36.06654977,5.61,87.8,0.246361209,7.6539,18.125,74.2211,49.8,0,4.71,166,0.006,0.025,0.014,0.099,31.6,4.25,6.5,1.69,0.001,11.4,0.075,0.727,0.966,0.037,0.159,3.48,0.208566368,2.548086643,12.21715069,375.121
11,2,-94.23464782,36.06650989,5.81,127.3,0.191635884,8.27115,24,67.72885,43.6,0.008,4.72,182,0.005,0.037,0.011,0.117,30.3,5.85,7.41,1.79,0,10.2,0.079,0.749,1.19,0.035,0.193,4.1225,0.24390541,2.904885769,11.90988636,375.17
11,3,-94.23454463,36.06648213,6.33,135.3,0.29259572,9.91715,25.125,64.95785,47.1,0.007,4.95,182,0.006,0.02,0.016,0.095,33.5,3.78,3.18,2.63,0.001,9.32,0.065,0.74,1.1,0.033,0.139,4.1025,0.212332115,2.778095961,13.08372974,375.154
11,4,-94.23447523,36.06649314,5.82,67.5,0.346865462,9.9583,25.875,64.1667,60.9,0.003,4.72,115,0.004,0.02,0.014,0.075,32.1,4.06,1.34,2.11,0.001,8.47,0.074,0.845,1.1,0.033,0.121,4.11,0.18907851,2.341469765,12.38358498,375.187
11,5,-94.2343825,36.06645895,5.59,78.2,0.353354219,8.18885,19,72.81115,50.4,0,4.4,153,0.003,0.028,0.011,0.107,32.9,5.63,6.45,2.05,0.001,12.3,0.073,0.738,1.02,0.038,0.226,3.39,0.221551999,2.399852037,10.83200359,375.189
12,1,-94.23442482,36.06657592,5.74,144.6,0.236095927,9.50565,25.125,65.36935,41.6,0.006,4.88,133,0.004,0.017,0.027,0.11,30,5.64,6.35,1.77,0.001,9.29,0.062,1.04,1.08,0.049,0.262,3.9375,0.223911896,2.562130451,11.44258308,375.14
12,2,-94.23438344,36.0666469,5.8,110.6,0.328819024,13.04455,28.625,58.33045,55.4,0,4.89,115,0.003,0.02,0.009,0.081,27.3,5.4,2.93,3.65,0.001,8.16,0.068,1.32,1.18,0.035,0.284,3.97,0.214656606,2.527783632,11.77594185,375.166
12,3,-94.23432819,36.066618,5.92,82.1,0.255127449,13.37375,25.625,61.00125,54.4,0.002,4.97,129,0.005,0.008,0.009,0.092,16.2,5.26,3.98,1.67,0.001,6.43,0.067,3.1,1.17,0.03,0.174,3.89,0.228564009,2.503315926,10.95236301,375.50098
12,4,-94.23426812,36.06665327,5.96,62.4,0.253106918,14.011575,24.375,61.613425,56.4,0,4.99,115,0.005,0.008,0.009,0.082,18.3,6.12,5.71,1.7,0.001,6.14,0.069,2.12,0.897,0.03,0.153,3.3025,0.198291093,2.139113665,10.78774452,375.3015
12,5,-94.23426912,36.06665361,5.55,79,0.358879178,8.497475,23.625,67.877525,54.2,0.004,4.68,114,0.003,0.034,0.009,0.089,28.5,3.72,4.15,4.08,0.001,11.4,0.092,0.888,1.34,0.038,0.161,3.5025,0.20697102,2.32481575,11.23256683,375.301
13,1,-94.23487638,36.06649732,6.04,124.8,0.190110053,2.26325,20.625,77.11175,36.3,0,4.42,179,0.003,0.029,0.009,0.131,25.5,5.15,7.9,2.95,0,11.5,0.07,0.626,0.788,0.027,0.199,3.465,0.223457664,2.405874729,10.76657963,375.165
13,2,-94.23471181,36.06644142,6.06,79.4,0.237079487,8.43575,28,63.56425,51.1,0.005,4.91,121,0.004,0.012,0.009,0.073,23.8,4,1.78,2.36,0.001,6,0.062,1.78,1.36,0.032,0.143,3.93,0.218375474,2.451298952,11.22515678,375.493
13,3,-94.23477221,36.06653026,6.3,137.3,0.182377881,4.5265,26,69.4735,37.9,0.01,4.89,187,0.004,0.021,0.009,0.099,25.6,5.71,8.99,3.37,0.001,9.95,0.07,0.877,0.975,0.038,0.205,3.9775,0.229352191,2.637989759,11.50191689,375.234
